record_id,redcap_event_name,consent,subject_id_quest,information_complete,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,nfc_07,nfc_08,nfc_09,nfc_10,nfc_11,nfc_12,nfc_13,nfc_14,nfc_15,nfc_16,nfc_complete,bis11_01,bis11_02,bis11_03,bis11_04,bis11_05,bis11_06,bis11_07,bis11_08,bis11_09,bis11_10,bis11_11,bis11_12,bis11_13,bis11_14,bis11_15,bis11_16,bis11_17,bis11_18,bis11_19,bis11_20,bis11_21,bis11_22,bis11_23,bis11_24,bis11_25,bis11_26,bis11_27,bis11_28,bis11_29,bis11_30,bis_11_complete,bscs_1,bscs_2,bscs_3,bscs_4,bscs_5,bscs_6,bscs_7,bscs_8,bscs_9,bscs_10,bscs_11,bscs_12,bscs_13,bscs_complete,srs_01,srs_02,srs_03,srs_04,srs_05,srs_06,srs_07,srs_08,srs_09,srs_10,srs_complete,erq_01,erq_02,erq_03,erq_04,erq_05,erq_06,erq_07,erq_08,erq_09,erq_10,erq_complete,who5_1,who5_2,who5_3,who5_4,who5_5,who5_complete,risc_01,risc_04,risc_06,risc_07,risc_08,risc_11,risc_14,risc_16,risc_17,risc_19,cdrisc_complete,acs_01,acs_02,acs_03,acs_04,acs_05,acs_06,acs_07,acs_08,acs_09,acs_10,acs_11,acs_12,acs_13,acs_14,acs_15,acs_16,acs_17,acs_18,acs_19,acs_20,acs_complete,flexer_01,flexer_02,flexer_03,flexer_04,flexer_05,flexer_06,flexer_07,flexer_08,flexer_09,flexer_10,flexer_complete,layb_01,layb_02,layb_03,layb_04,lay_beliefs_complete,appointment_complete,subject_id_lab,vl,date,preparatory_coged_complete,age,gender,edu,state,general_questions_complete,inclusion,inclusion_0___1,inclusion_0___2,inclusion_0_2,researcher_questions_complete,nasa_tlx_1,nasa_tlx_2,nasa_tlx_3,nasa_tlx_4,nasa_tlx_5,nasa_tlx_6,avers,nasatlx_aversion_complete,nasa_tlx_1b,nasa_tlx_2b,nasa_tlx_3b,nasa_tlx_4b,nasa_tlx_5b,nasa_tlx_6b,aversb,nasatlx_aversion2_complete,nasa_tlx_1c,nasa_tlx_2c,nasa_tlx_3c,nasa_tlx_4c,nasa_tlx_5c,nasa_tlx_6c,aversc,nasatlx_aversion3_complete,nasa_tlx_1d,nasa_tlx_2d,nasa_tlx_3d,nasa_tlx_4d,nasa_tlx_5d,nasa_tlx_6d,aversd,nasatlx_aversion4_complete,followup_adherence,followup_motivation,followup_motivation_other,followup_coged_complete,t1_psychopy_ed_csv,t1_psychopy_nback_csv,t1_psychopy_randch_log,t1_session_notes,files_coged_complete,record_id_2,vl_er,date_er,preparatory_ered_complete,emg_eeg,emg_vhdr,emg_vmrk,er_psychopy_csv,ed_psychopy_csv,t2_session_notes,files_ered_complete,nachb_01,nachb_01_inhalt,nachb_02,nachb_02_inhalt,nachb_03,nachb_07,nachb_07_inhalt,nachb_08,nachb_08_inhalt,nachb_08_haeufig,nachb_08_zurueck,followup_ered_complete
1_final,t1_questionnaires_arm_1,1,B03E01,2,1,-1,-1,-1,3,-2,-1,0,-1,1,-2,-1,0,-1,-2,-2,2,4,2,3,2,2,1,4,3,3,4,3,3,3,1,3,1,2,2,2,3,1,2,2,1,1,2,2,4,4,4,2,3,4,4,1,3,4,5,4,5,2,5,3,2,2,4,3,3,4,2,3,3,3,2,4,2,5,5,6,4,4,6,6,5,6,6,2,4,4,4,3,3,2,7,5,5,6,6,7,6,3,4,3,2,3,2,2,1,2,4,2,3,1,3,2,2,3,1,2,2,3,3,3,2,2,3,3,3,2,2,2,3,3,2,2,2,3,2,4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B03E01,CS,23.08.2022,2,23,2,3,0,2,1,0,0,,2,3,2,3,17,3,2,2,2,8,2,5,13,7,5,3,2,12,2,6,10,10,5,4,2,18,3,7,9,12,5,3,2,1,3,,2,B03E01_t1_ED.csv,B03E01_t1_nback.csv,B03E01_t1_randomchoice.csv,Automatic NASA did not work,,,,,,,,,,,,,,,,,,,,,,,,
1_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B03E01,JZ,30.08.2022,2,B03E01.eeg,B03E01.vhdr,B03E01.vmrk,B03E01_t2_ER.csv,B03E01_t2_ED.csv,,2,0,,1,,The strategy was easiest for me.,0,,0,,,,2
2_final,t1_questionnaires_arm_1,1,B19S05,2,-3,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,1,3,1,2,1,0,0,,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,2,,,,0,,,,[Edit: This is a dummy data set where we tried the split of the NASA-TLX questionnaires],0,,,,,,,,,,,,,,,,,,,,,,,
3_final,t1_questionnaires_arm_1,1,B03I09,2,1,2,2,3,3,-2,-2,-3,-2,-2,-2,-2,0,1,-3,-2,2,3,2,2,4,1,2,3,4,4,4,1,4,1,1,3,1,1,2,2,4,1,1,2,1,1,2,2,1,4,4,2,5,3,3,1,2,4,3,4,3,1,4,2,2,2,4,3,3,4,2,1,2,3,1,3,2,5,7,5,4,6,6,5,5,5,5,2,4,4,3,0,4,2,5,2,2,4,7,6,5,4,5,5,2,3,2,2,2,3,2,1,2,3,3,2,2,3,2,2,1,3,3,3,2,2,2,2,3,3,3,2,2,4,3,2,2,3,3,3,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B03I09,JZ,22.09.2022,2,21,1,3,0,2,1,0,0,,2,4,1,4,20,6,2,1,2,9,3,7,18,9,4,1,2,14,3,13,11,12,6,1,2,14,2,11,17,10,2,1,2,1,2,,2,B03I09_t1_ED.csv,B03I09_t1_nback.csv,B03I09_t1_randomchoice.csv,,2,,,,,,,,,,,,,,,,,,,,,,,
3_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B03I09,JZ,29.09.2022,2,B03I09.eeg,B03I09.vhdr,B03I09.vmrk,B03I09_t2_ER.csv,B03I09_t2_ED.csv,,2,0,,1,,Distancing was similarly successful as suppression,,,,,,,
4_final,t1_questionnaires_arm_1,1,D06A02,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,4,5,4,5,4,4,5,2,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
